Division No.,Member Name,Constiituency,State,No of Days Member signed the register,StartDate,EndDate
545,Dr. M K Vishnu Prasad,Cuddalore,Tamil Nadu,33 ,17-06-2019,06-08-2019
477,Dr. D Ravi Kumar,Viluppuram,Tamil Nadu,36 ,17-06-2019,06-08-2019
442,Shri Sellaperumal Ramalingam,Mayiladuthurai,Tamil Nadu,36 ,17-06-2019,06-08-2019
519,Dr. Gautham Sigamani Pon,Kallakurichi,Tamil Nadu,37 ,17-06-2019,06-08-2019
495,Shri S.R. Parthiban,Salem,Tamil Nadu,34 ,17-06-2019,06-08-2019
549,Shri P. Velusamy,Dindigul,Tamil Nadu,37 ,17-06-2019,06-08-2019
550,Shri K. Shanmuga Sundaram,Pollachi,Tamil Nadu,37 ,17-06-2019,06-08-2019
478,Shri A.K.P. Chinraj,Namakkal,Tamil Nadu,28 ,17-06-2019,06-08-2019
490,Dr. T. R. Paarivendhar,Perambalur,Tamil Nadu,30 ,17-06-2019,06-08-2019
484,Ms. S Jothimani,Karur,Tamil Nadu,34 ,17-06-2019,06-08-2019
195,Shri Rebati Tripura,Tripura East,Tripura,36 ,17-06-2019,06-08-2019
66,Km. Pratima Bhoumik,Tripura West,Tripura,37 ,17-06-2019,06-08-2019
411,Smt. Pramila Bisoyi,Aska,Odisha,37 ,17-06-2019,06-08-2019
41,Shri Pratap Chandra Sarangi,Balasore,Odisha,1 ,17-06-2019,06-08-2019
187,Shri Suresh Kumar Pujari,Bargarh,Odisha,36 ,17-06-2019,06-08-2019
410,Smt. Manjulata Mandal,Bhadrak,Odisha,30 ,17-06-2019,06-08-2019
167,Smt. Aparajita Sarangi,Bhubaneswar,Odisha,35 ,17-06-2019,06-08-2019
392,Shri Mahesh Sahoo,Dhenkanal,Odisha,36 ,17-06-2019,06-08-2019
401,Dr. Rajashree Mallick,Jagatsinghpur,Odisha,17 ,17-06-2019,06-08-2019
402,Smt. Sarmistha Kumari Sethi,Jajpur,Odisha,32 ,17-06-2019,06-08-2019
337,Shri Basanta Kumar Panda,Kalahandi,Odisha,37 ,17-06-2019,06-08-2019
370,Shri Achyutananda Samanta,Kandhamal,Odisha,32 ,17-06-2019,06-08-2019
376,Shri Anubhav Mohanty,Kendrapara,Odisha,23 ,17-06-2019,06-08-2019
423,Ms. Chandrani Murmu,Keonjhar,Odisha,32 ,17-06-2019,06-08-2019
471,Shri Saptagiri Sankar Ulaka,Koraput,Odisha,36 ,17-06-2019,06-08-2019
74,Shri Bishweswar Tudu,Mayurbhanj,Odisha,37 ,17-06-2019,06-08-2019
384,Shri Ramesh Chandra Majhi,Nabarangpur,Odisha,35 ,17-06-2019,06-08-2019
172,Shri Nitesh Ganga Deb,Sambalpur,Odisha,37 ,17-06-2019,06-08-2019
73,Dr. Ranjan Singh Rajkumar,Inner Manipur,Manipur,32 ,17-06-2019,06-08-2019
287,Dr. Lorho S. Pfoze,Outer Manipur,Manipur,37 ,17-06-2019,06-08-2019
81,Shri Tirath Singh Rawat,Garhwal,Uttarakhand,37 ,17-06-2019,06-08-2019
23,Shri Ajay Bhatt,Nainital-Udhamsingh Nagar,Uttarakhand,36 ,17-06-2019,06-08-2019
469,Shri Hasnain Masoodi,Anantnag,Jammu and Kashmir,36 ,17-06-2019,06-08-2019
486,Shri Mohammad Akbar Lone,Baramulla,Jammu and Kashmir,23 ,17-06-2019,06-08-2019
253,Shri Jamyang Tsering Namgyal,Ladakh,Ladakh,34 ,17-06-2019,06-08-2019
272,Shri Vijay Baghel,Durg,Chhattisgarh,36 ,17-06-2019,06-08-2019
539,Shri Deepak Baij,Bastar,Chhattisgarh,33 ,17-06-2019,06-08-2019
332,Shri Arun Sao,Bilaspur,Chhattisgarh,37 ,17-06-2019,06-08-2019
247,Shri Mohan Mandavi,Kanker,Chhattisgarh,37 ,17-06-2019,06-08-2019
481,Smt. Jyotsna Charandas Mahant,Korba,Chhattisgarh,31 ,17-06-2019,06-08-2019
248,Shri Chunni Lal Sahu,Mahasamund,Chhattisgarh,36 ,17-06-2019,06-08-2019
221,Smt. Gomati Sai,Raigarh,Chhattisgarh,37 ,17-06-2019,06-08-2019
273,Shri Sunil Kumar Soni,Raipur,Chhattisgarh,37 ,17-06-2019,06-08-2019
276,Shri Santosh Pandey,Rajnandgaon,Chhattisgarh,36 ,17-06-2019,06-08-2019
70,Smt. Renuka Singh,Surguja,Chhattisgarh,1 ,17-06-2019,06-08-2019
179,Shri Hasmukhbhai Somabhai Patel,Ahmedabad East,Gujarat,37 ,17-06-2019,06-08-2019
178,Shri Mitesh Patel Bakabhai,Anand,Gujarat,37 ,17-06-2019,06-08-2019
324,Shri Parbatbhai Savabhai Patel,Banaskantha,Gujarat,37 ,17-06-2019,06-08-2019
104,Smt. Gitaben Vajesingbhai Rathva,Chhota Udaipur,Gujarat,37 ,17-06-2019,06-08-2019
3,Shri Amit Shah,Gandhinagar,Gujarat,1 ,17-06-2019,06-08-2019
103,Smt. Sharda Anilkumar Patel,Mahesana,Gujarat,37 ,17-06-2019,06-08-2019
56,Shri Ratansinh Magansinh Rathod,Panchmahal,Gujarat,36 ,17-06-2019,06-08-2019
180,Shri Bharatsinhji Shankarji Dabhi,Patan,Gujarat,37 ,17-06-2019,06-08-2019
115,Shri Horen Sing Bey,Autonomous District,Assam,34 ,17-06-2019,06-08-2019
252,Shri Rameshbhai Lavjibhai Dhaduk,Porbandar,Gujarat,28 ,17-06-2019,06-08-2019
76,Dr. Mahendrabhai Kalubhai Munjpara,Surendranagar,Gujarat,37 ,17-06-2019,06-08-2019
334,Shri Brijendra Singh,Hisar,Haryana,37 ,17-06-2019,06-08-2019
48,Shri Sanjay Bhatia,Karnal,Haryana,35 ,17-06-2019,06-08-2019
120,Shri Nayab Singh,Kurukshetra,Haryana,35 ,17-06-2019,06-08-2019
107,Smt. Sunita Duggal,Sirsa,Haryana,37 ,17-06-2019,06-08-2019
176,Shri Gautam Gambhir,East Delhi,NCT of Delhi,25 ,17-06-2019,06-08-2019
244,Shri Hans Raj Hans,North West Delhi,NCT of Delhi,32 ,17-06-2019,06-08-2019
77,Shri John Barla,Alipurduars,West Bengal,37 ,17-06-2019,06-08-2019
258,Dr. Sukanta Majumdar,Balurghat,West Bengal,36 ,17-06-2019,06-08-2019
75,Shri Shantanu Thakur,Bangaon,West Bengal,34 ,17-06-2019,06-08-2019
72,Dr. Subhas Sarkar,Bankura,West Bengal,36 ,17-06-2019,06-08-2019
349,Shri Arjun Singh,Barrackpur,West Bengal,36 ,17-06-2019,06-08-2019
467,Ms. Nussrat Jahan,Basirhat,West Bengal,9 ,17-06-2019,06-08-2019
475,Shri Asit Kumar Mal,Bolpur,West Bengal,33 ,17-06-2019,06-08-2019
135,Shri Nisith Pramanik,Coochbehar,West Bengal,37 ,17-06-2019,06-08-2019
262,Shri Raju Bista,Darjeeling,West Bengal,37 ,17-06-2019,06-08-2019
109,Smt. Locket Chatterjee,Hooghly,West Bengal,36 ,17-06-2019,06-08-2019
468,Ms. Mimi Chakraborty,Jadavpur,West Bengal,11 ,17-06-2019,06-08-2019
257,Dr. Jayanta Kumar Roy,Jalpaiguri,West Bengal,36 ,17-06-2019,06-08-2019
417,Shri Khalilur Rahaman,Jangipur,West Bengal,30 ,17-06-2019,06-08-2019
260,Shri Kunar Hembram,Jhargram,West Bengal,37 ,17-06-2019,06-08-2019
459,Smt. Mala Roy,Kolkata Dakshin,West Bengal,29 ,17-06-2019,06-08-2019
466,Ms Mahua Moitra,Krishnanagar,West Bengal,37 ,17-06-2019,06-08-2019
263,Shri Khagen Murmu,Maldaha Uttar,West Bengal,36 ,17-06-2019,06-08-2019
168,Shri Dilip Ghosh,Medinipur,West Bengal,32 ,17-06-2019,06-08-2019
476,Md Abu Taher Khan,Murshidabad,West Bengal,30 ,17-06-2019,06-08-2019
186,Shri Jyotirmay Singh Mahato,Purulia,West Bengal,37 ,17-06-2019,06-08-2019
143,Km. Debasree Chaudhuri,Raiganj,West Bengal,2 ,17-06-2019,06-08-2019
259,Shri Jagannath Sarkar,Ranaghat,West Bengal,35 ,17-06-2019,06-08-2019
261,Dr. Dhal Singh Bisen,Balaghat,Madhya Pradesh,37 ,17-06-2019,06-08-2019
348,Shri Durgadas D D Uikey,Betul,Madhya Pradesh,36 ,17-06-2019,06-08-2019
52,Smt. Sandhya Ray,Bhind,Madhya Pradesh,36 ,17-06-2019,06-08-2019
199,Sadhvi Pragya Singh Thakur,Bhopal,Madhya Pradesh,36 ,17-06-2019,06-08-2019
492,Shri Nakul K. Nath,Chhindwara,Madhya Pradesh,28 ,17-06-2019,06-08-2019
344,Shri Mahendra Singh Solanky,Dewas,Madhya Pradesh,37 ,17-06-2019,06-08-2019
345,Dr. Krishnapal Singh Yadav,Guna,Madhya Pradesh,37 ,17-06-2019,06-08-2019
113,Shri Vivek Narayan Shejwalkar,Gwalior,Madhya Pradesh,35 ,17-06-2019,06-08-2019
264,Shri Shankar Lalwani,Indore,Madhya Pradesh,36 ,17-06-2019,06-08-2019
251,Shri Vishnu Datt Sharma,Khajuraho,Madhya Pradesh,36 ,17-06-2019,06-08-2019
347,Shri Gajendra  Singh Patel,Khargone,Madhya Pradesh,36 ,17-06-2019,06-08-2019
346,Shri Guman Singh Damor,Ratlam,Madhya Pradesh,37 ,17-06-2019,06-08-2019
343,Shri Rajbahadur Singh,Sagar,Madhya Pradesh,37 ,17-06-2019,06-08-2019
112,Shri Anil Firojiya,Ujjain,Madhya Pradesh,34 ,17-06-2019,06-08-2019
342,Shri Ramakant Bhargava,Vidisha,Madhya Pradesh,35 ,17-06-2019,06-08-2019
245,Shri Soyam Bapu Rao,Adilabad,Telangana,32 ,17-06-2019,06-08-2019
543,Shri Komati Reddy Venkat Reddy,Bhongir,Telangana,30 ,17-06-2019,06-08-2019
409,Dr. Gaddam Ranjith Reddy,Chevella,Telangana,31 ,17-06-2019,06-08-2019
122,Shri Bandi Sanjay Kumar,Karimnagar,Telangana,36 ,17-06-2019,06-08-2019
400,Smt. Kavitha Maloth,Mahabubabad,Telangana,24 ,17-06-2019,06-08-2019
383,Shri Srinivas Reddy Manne,Mahabubnagar,Telangana,22 ,17-06-2019,06-08-2019
536,Shri Anumula Revanth Reddy,Malkajgiri,Telangana,20 ,17-06-2019,06-08-2019
375,Shri Ramulu Pothuganti,Nagarkurnool,Telangana,34 ,17-06-2019,06-08-2019
529,Shri Uttam Kumar Nalamada Reddy,Nalgonda,Telangana,33 ,17-06-2019,06-08-2019
246,Shri Arvind Dharmapuri,Nizamabad,Telangana,34 ,17-06-2019,06-08-2019
422,Shri Venkatesh Netha Borlakunta,Peddapalle,Telangana,25 ,17-06-2019,06-08-2019
201,Shri G Kishan Reddy,Secunderabad,Telangana,5 ,17-06-2019,06-08-2019
397,Smt.  Chinta Anuradha,Amalapuram,Andhra Pradesh,31 ,17-06-2019,06-08-2019
395,Dr. Venkata Satyavathi Beesetti,Anakapalle,Andhra Pradesh,37 ,17-06-2019,06-08-2019
407,Dr. Talari Rangaiah,Anantapur,Andhra Pradesh,37 ,17-06-2019,06-08-2019
396,Smt. Goddeti Madhavi,Araku,Andhra Pradesh,35 ,17-06-2019,06-08-2019
373,Shri Nandigam Suresh,Bapatla,Andhra Pradesh,18 ,17-06-2019,06-08-2019
387,Shri Reddeppa Nallakonda Gari,Chittoor,Andhra Pradesh,34 ,17-06-2019,06-08-2019
372,Shri Kotagiri Sridhar,Eluru,Andhra Pradesh,32 ,17-06-2019,06-08-2019
415,Shri Kuruva Gorantla Madhav,Hindupur,Andhra Pradesh,33 ,17-06-2019,06-08-2019
367,Smt. Geetha Viswanath Vanga,Kakinada,Andhra Pradesh,34 ,17-06-2019,06-08-2019
414,Dr. Sanjeev Kumar Singari,Kurnool,Andhra Pradesh,37 ,17-06-2019,06-08-2019
416,Shri Pocha Brahmananda Reddy,Nandyal,Andhra Pradesh,31 ,17-06-2019,06-08-2019
380,Shri Lavu Sri Krishna Devarayalu,Narasaraopet,Andhra Pradesh,33 ,17-06-2019,06-08-2019
428,Shri Raghu Ramakrishna Raju Kanumuru,Narsapuram,Andhra Pradesh,35 ,17-06-2019,06-08-2019
366,Shri Bharat Ram Margani,Rajahmundry,Andhra Pradesh,34 ,17-06-2019,06-08-2019
427,Shri M V V Satyanarayana,Visakhapatnam,Andhra Pradesh,27 ,17-06-2019,06-08-2019
379,Shri Adala Prabhakara Reddy,Nellore,Andhra Pradesh,31 ,17-06-2019,06-08-2019
401,Shri Durga Prasad Rao Balli,Tirupati,Andhra Pradesh,36 ,17-06-2019,06-08-2019
405,Shri Chandra Sekhar Bellana,Vizianagaram,Andhra Pradesh,27 ,17-06-2019,06-08-2019
473,Shri Abdul Khaleque,Barpeta,Assam,37 ,17-06-2019,06-08-2019
106,Smt. Queen Oja,Gauhati,Assam,36 ,17-06-2019,06-08-2019
332,Shri Topon Kumar Gogoi,Jorhat,Assam,36 ,17-06-2019,06-08-2019
116,Shri Kripanath Mallah,Karimganj,Assam,32 ,17-06-2019,06-08-2019
331,Shri Dilip Saikia,Darrang Udalguri,Assam,37 ,17-06-2019,06-08-2019
528,Shri Pradyut Bordoloi,Nagaon,Assam,37 ,17-06-2019,06-08-2019
275,Dr. Rajdeep Roy,Silchar,Assam,37 ,17-06-2019,06-08-2019
274,Shri Pallab Lochan Das,Tezpur,Assam,37 ,17-06-2019,06-08-2019
293,Dr. Indra Hang Subba,Sikkim,Sikkim,37 ,17-06-2019,06-08-2019
119,Shri Kishan Kapoor,Kangra,Himachal Pradesh,37 ,17-06-2019,06-08-2019
336,Shri Suresh Kumar Kashyap,Shimla,Himachal Pradesh,37 ,17-06-2019,06-08-2019
188,Shri Sunil Soren,Dumka,Jharkhand,35 ,17-06-2019,06-08-2019
298,Shri Chandra Prakash Choudhary,Giridih,Jharkhand,37 ,17-06-2019,06-08-2019
63,Smt. Annpurna Devi,Kodarma,Jharkhand,35 ,17-06-2019,06-08-2019
250,Shri Sanjay Seth,Ranchi,Jharkhand,37 ,17-06-2019,06-08-2019
482,Smt. Geeta Kora,Singhbhum,Jharkhand,30 ,17-06-2019,06-08-2019
491,Shri Kuldeep Rai Sharma,Andaman and Nicobar Islands,Andaman and Nicobar Islands,29 ,17-06-2019,06-08-2019
523,Shri Ve Vaithilingam,Puducherry,Puducherry,25 ,17-06-2019,06-08-2019
453,Adv. A. M. Ariff,Alappuzha,Kerala,36 ,17-06-2019,06-08-2019
483,Ms. Ramya Haridas,Alathur,Kerala,31 ,17-06-2019,06-08-2019
530,Adv. Adoor Prakash,Attingal,Kerala,34 ,17-06-2019,06-08-2019
526,Shri Benny Behanan,Chalakudy,Kerala,35 ,17-06-2019,06-08-2019
538,Shri Hibi Eden,Ernakulam,Kerala,31 ,17-06-2019,06-08-2019
544,Adv Dean Kuriakose,Idukki,Kerala,35 ,17-06-2019,06-08-2019
541,Shri Rajmohan Unnithan,Kasaragod,Kerala,34 ,17-06-2019,06-08-2019
546,Shri V K Sreekandan,Palakkad,Kerala,37 ,17-06-2019,06-08-2019
540,Shri T.N. Prathapan,Thrissur,Kerala,35 ,17-06-2019,06-08-2019
456,Shri Thomas Chazhikadan,Kottayam,Kerala,30 ,17-06-2019,06-08-2019
92,Prof. Rita Bahuguna Joshi,Allahabad,Uttar Pradesh,36 ,17-06-2019,06-08-2019
399,Shri Ritesh Pandey,Ambedkar Nagar,Uttar Pradesh,31 ,17-06-2019,06-08-2019
382,Kunwar Danish Ali,Amroha,Uttar Pradesh,36 ,17-06-2019,06-08-2019
50,Dr. Sanghamitra Maurya,Badaun,Uttar Pradesh,37 ,17-06-2019,06-08-2019
175,Shri Akshaibar Lal,Bahraich,Uttar Pradesh,34 ,17-06-2019,06-08-2019
191,Shri Upendra Singh Rawat,Barabanki,Uttar Pradesh,37 ,17-06-2019,06-08-2019
194,"Bind, Dr. Ramesh Chand",Bhadohi,Uttar Pradesh,36 ,17-06-2019,06-08-2019
374,Shri Malook Nagar,Bijnor,Uttar Pradesh,33 ,17-06-2019,06-08-2019
177,Dr. Ramapati Ram Tripathi,Deoria,Uttar Pradesh,37 ,17-06-2019,06-08-2019
196,Shri Rajkumar Chahar,Fatehpur Sikri,Uttar Pradesh,33 ,17-06-2019,06-08-2019
254,Shri Ravindra Shukla Alias Ravi Kishan,Gorakhpur,Uttar Pradesh,31 ,17-06-2019,06-08-2019
169,Shri Rajveer Diler,Hathras,Uttar Pradesh,37 ,17-06-2019,06-08-2019
390,Shri Shyam Singh Yadav,Jaunpur,Uttar Pradesh,35 ,17-06-2019,06-08-2019
174,Shri Anurag Sharma,Jhansi,Uttar Pradesh,36 ,17-06-2019,06-08-2019
198,Shri Pradeep Kumar Chaudhary,Kairana,Uttar Pradesh,37 ,17-06-2019,06-08-2019
333,Shri Subrat Pathak,Kannauj,Uttar Pradesh,36 ,17-06-2019,06-08-2019
189,Shri Vijay Kumar Dubey,Kushi Nagar,Uttar Pradesh,33 ,17-06-2019,06-08-2019
290,Smt. Sangeeta Azad,Lalganj,Uttar Pradesh,32 ,17-06-2019,06-08-2019
190,Shri  Bholanath (B.P. Saroj),Machhlishahr,Uttar Pradesh,37 ,17-06-2019,06-08-2019
462,Dr. S.T. Hasan,Moradabad,Uttar Pradesh,31 ,17-06-2019,06-08-2019
285,Shri Girish Chandra,Nagina,Uttar Pradesh,36 ,17-06-2019,06-08-2019
51,Smt. Keshari Devi Patel,Phulpur,Uttar Pradesh,35 ,17-06-2019,06-08-2019
193,Shri Sangamlal Kadedin Gupta,Pratapgarh,Uttar Pradesh,36 ,17-06-2019,06-08-2019
514,Shri Mohammad Azam Khan,Rampur,Uttar Pradesh,32 ,17-06-2019,06-08-2019
408,Shri Haji Fazlur Rehman,Saharanpur,Uttar Pradesh,29 ,17-06-2019,06-08-2019
173,Shri Arun Kumar Sagar,Shahjahanpur,Uttar Pradesh,33 ,17-06-2019,06-08-2019
368,Shri Ram Shiromani Verma,Shrawasti,Uttar Pradesh,36 ,17-06-2019,06-08-2019
548,Shri Jasbir Singh Gill,Khadoor Sahib,Punjab,34 ,17-06-2019,06-08-2019
24,Shri Som Parkash,Hoshiarpur,Punjab,3 ,17-06-2019,06-08-2019
322,Shri Sunny Deol,Gurdaspur,Punjab,9 ,17-06-2019,06-08-2019
552,Mohammad Sadique,Faridkot,Punjab,31 ,17-06-2019,06-08-2019
533,Dr. Amar Singh,Fatehgarh Sahib,Punjab,37 ,17-06-2019,06-08-2019
424,Shri Ajay Kumar Mandal,Bhagalpur,Bihar,12 ,17-06-2019,06-08-2019
184,Shri Devendrappa Y,Bellary,Karnataka,35 ,17-06-2019,06-08-2019
54,Shri Bache Gowda B.N.,Chikkballapur,Karnataka,28 ,17-06-2019,06-08-2019
55,Shri Annasaheb Shankar Jolle,Chikkodi,Karnataka,31 ,17-06-2019,06-08-2019
133,Shri Narayana Swamy Abbaiah,Chitradurga,Karnataka,31 ,17-06-2019,06-08-2019
118,Shri Gopal Jee Thakur,Darbhanga,Bihar,36 ,17-06-2019,06-08-2019
412,Shri Vijay Kumar,Gaya,Bihar,35 ,17-06-2019,06-08-2019
181,Dr. Umesh G. Jadhav,Gulbarga,Karnataka,37 ,17-06-2019,06-08-2019
182,Shri S. Muniswamy,Kolar,Karnataka,36 ,17-06-2019,06-08-2019
111,Smt. Sumalatha Ambareesh,Mandya,Karnataka,27 ,17-06-2019,06-08-2019
183,Shri Raja Amareshwara Naik,Raichur,Karnataka,37 ,17-06-2019,06-08-2019
121,Shri Tejasvi Surya,Bangalore South,Karnataka,36 ,17-06-2019,06-08-2019
488,Shri Prajwal Revanna,Hassan,Karnataka,17 ,17-06-2019,06-08-2019
329,Shri Hemant Shriram Patil,Hingoli,Maharashtra,30 ,17-06-2019,06-08-2019
487,Dr. Amol Ramsing Kolhe,Shirur,Maharashtra,19 ,17-06-2019,06-08-2019
271,Shri Unmesh Bhaiyyasaheb Patil,Jalgaon,Maharashtra,25 ,17-06-2019,06-08-2019
339,Shri Dhairyasheel Sambhajirao Mane,Hatkanangle,Maharashtra,34 ,17-06-2019,06-08-2019
114,Shri Sunil Baburao Mendhe,Bhandara-Gondiya,Maharashtra,34 ,17-06-2019,06-08-2019
340,Shri Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,Osmanabad,Maharashtra,32 ,17-06-2019,06-08-2019
522,Shri Balubhau Narayanrao (Alias Suresh) Dhanorkar,Chandrapur,Maharashtra,25 ,17-06-2019,06-08-2019
219,Smt Navneet Ravi Rana,Amravati,Maharashtra,26 ,17-06-2019,06-08-2019
330,Prof. Sanjay Sadashivrao Mandlik,Kolhapur,Maharashtra,20 ,17-06-2019,06-08-2019
267,Shri Ranjeetsingh Naik Nimbalkar,Madha,Maharashtra,19 ,17-06-2019,06-08-2019
270,Dr. Jaisiddeshwar Shivacharya Mahaswamiji,Solapur,Maharashtra,35 ,17-06-2019,06-08-2019
266,Shri Sudhakar Tukaram Shrangare,Latur,Maharashtra,34 ,17-06-2019,06-08-2019
265,Dr. Sujay Radhakrishna Vikhepatil,Ahmednagar,Maharashtra,32 ,17-06-2019,06-08-2019
268,Shri Prataprao  Patil Chikhalikar,Nanded,Maharashtra,15 ,17-06-2019,06-08-2019
268,Shri Girish Bhalchandra Bapat,Pune,Maharashtra,35 ,17-06-2019,06-08-2019
326,Shri Tatkare Sunil Dattatrey,Raigad,Maharashtra,36 ,17-06-2019,06-08-2019
472,"Syed Imtiaz Jaleel, Shri",Aurangabad,Maharashtra,31 ,17-06-2019,06-08-2019
71,Dr. Bharati Pravin Pawar,Dindori,Maharashtra,36 ,17-06-2019,06-08-2019
269,Shri Manoj Kishorbhai Kotak,Mumbai-North-East,Maharashtra,37 ,17-06-2019,06-08-2019
171,Shri Bhagirath Choudhary,Ajmer,Rajasthan,37 ,17-06-2019,06-08-2019
170,Shri Balak Nath,Alwar,Rajasthan,30 ,17-06-2019,06-08-2019
398,Shri Hanuman Beniwal,Nagaur,Rajasthan,34 ,17-06-2019,06-08-2019
162,Shri Kanakmal Katara,Banswara,Rajasthan,36 ,17-06-2019,06-08-2019
132,Shri Kailash Choudhary,Barmer,Rajasthan,12 ,17-06-2019,06-08-2019
49,Smt. Ranjeeta Koli,Bharatpur,Rajasthan,37 ,17-06-2019,06-08-2019
222,Km. Diya Kumari,Rajsamand,Rajasthan,37 ,17-06-2019,06-08-2019
335,Shri Narendra Kumar,Jhunjhunu,Rajasthan,36 ,17-06-2019,06-08-2019
393,Dr. Alok Kumar Suman,Gopalganj,Bihar,37 ,17-06-2019,06-08-2019
277,Shri Pashupati Kumar Paras,Hajipur,Bihar,23 ,17-06-2019,06-08-2019
404,Shri Chandeshwar Prasad,Jahanabad,Bihar,32 ,17-06-2019,06-08-2019
386,Shri Ramprit Mandal,Jhanjharpur,Bihar,37 ,17-06-2019,06-08-2019
385,Shri Dulal Chandra Goswami,Katihar,Bihar,34 ,17-06-2019,06-08-2019
527,Dr. Mohammad Jawed,Kishanganj,Bihar,36 ,17-06-2019,06-08-2019
117,Shri Ashok Kumar Yadav,Madhubani,Bihar,35 ,17-06-2019,06-08-2019
312,Shri Chandan Singh,Nawada,Bihar,31 ,17-06-2019,06-08-2019
138,Shri Ravi Shankar Prasad,Patna Sahib,Bihar,1 ,17-06-2019,06-08-2019
403,Shri  Sunil Kumar Pintu,Sitamarhi,Bihar,31 ,17-06-2019,06-08-2019
394,Smt. Kavita Singh,Siwan,Bihar,36 ,17-06-2019,06-08-2019
378,Shri Dileshwar Kamait,Supaul,Bihar,36 ,17-06-2019,06-08-2019
308,Smt. Veena Devi,Vaishali,Bihar,35 ,17-06-2019,06-08-2019
185,Dr. Jadon Chandra Sen,Firozabad,Uttar Pradesh,33 ,17-06-2019,06-08-2019
192,Shri Satyadev Pachauri,Kanpur,Uttar Pradesh,36 ,17-06-2019,06-08-2019
291,Shri C. Lalrosanga,Mizoram,Mizoram,34 ,17-06-2019,06-08-2019
130,Shri Santosh Kumar Gangwar,Bareilly,Uttar Pradesh,0 ,17-06-2019,06-08-2019
56,Shri Rattan Lal Kataria,Ambala,Haryana,0 ,17-06-2019,06-08-2019
14,Dr. Faggan Singh Kulaste,Mandla,Madhya Pradesh,0 ,17-06-2019,06-08-2019
189,Shri Prahlad Singh Patel,Damoh,Madhya Pradesh,0 ,17-06-2019,06-08-2019
126,Shri Rao Inderjit Singh,Gurgaon,Haryana,0 ,17-06-2019,06-08-2019
9,Shri Kiren Rijiju,Arunachal West,Arunachal Pradesh,0 ,17-06-2019,06-08-2019
61,Shri Anurag Singh Thakur,Hamirpur,Himachal Pradesh,0 ,17-06-2019,06-08-2019
2,Shri Rajnath Singh,Lucknow,Uttar Pradesh,0 ,17-06-2019,06-08-2019
200,Shri Arjun Munda,Khunti,Jharkhand,0 ,17-06-2019,06-08-2019
5,Shri Narendra Singh Tomar,Morena,Madhya Pradesh,0 ,17-06-2019,06-08-2019
1,Shri Narendra Modi,Varanasi,Uttar Pradesh,0 ,17-06-2019,06-08-2019
22,Sadhvi Niranjan Jyoti,Fatehpur,Uttar Pradesh,0 ,17-06-2019,06-08-2019
19,Shri Krishan Pal Gurjar,Faridabad,Haryana,0 ,17-06-2019,06-08-2019
62,Shri Giriraj Singh,Begusarai,Bihar,0 ,17-06-2019,06-08-2019
10,Shri Raj Kumar Singh,Arrah,Bihar,0 ,17-06-2019,06-08-2019
8,Shri Gajendra Singh Shekhawat,Jodhpur,Rajasthan,0 ,17-06-2019,06-08-2019
25,Shri  Babul Supriyo,Asansol,West Bengal,0 ,17-06-2019,06-08-2019
204,Dr. Ramesh Pokhriyal Nishank,Hardwar,Uttarakhand,0 ,17-06-2019,06-08-2019
4,Shri Nitin Jairam Gadkari,Nagpur,Maharashtra,0 ,17-06-2019,06-08-2019
102,Smt. Himadri Singh,Shahdol,Madhya Pradesh,0 ,17-06-2019,06-08-2019
123,Smt. Smriti Zubin Irani,Amethi,Uttar Pradesh,0 ,17-06-2019,06-08-2019
421,Shri Atul Rai,Ghosi,Uttar Pradesh,0 ,17-06-2019,06-08-2019
